char_no	character	location	singular/plural
72148	Anne	Uppercross	singular
72148	Mr Musgrove	Uppercross	singular
72148	Ms Musgrove	Uppercross	singular
72487	the young ladies	Uppercross	plural
72625	Mary	Uppercross	singular
72860	Mr Musgroves	Uppercross	plural
73001	the females	Uppercross	plural
73704	Anne	Uppercross/the Cottage	singular
73704	Mary	Uppercross/the Cottage	singular
73868	the children	Uppercross/the Cottage	plural
83555	The Crofts	Kellynch	plural
84206	Mrs Croft	Uppercross	singular
84206	Admiral	Uppercross	singular
84206	the little boys	Uppercross	plural
84206	the two sisters	Uppercross	plural
87340	the youngest miss Musgrove	Uppercross/the Cottage	singular
87340	Mary	Uppercross/the Cottage	singular
91606	the folks of the Great House	Uppercross/the Cottage	plural
91606	Anne	Uppercross/the Cottage	singular
